Match ID,Competition,Stage,Group,Match Number,Date,Kick-off Time,Team,Opponent,Goals For,Goals Against,Result Code,Goal Scorers,Possession,Possession in Contest,Goals - Total,Goals - Conceded,Goals - Inside the Penalty Area,Goals - Outside the Penalty Area,Assists,Attempts at Goal - Total,Attempts at Goal - On Target,Attempts at Goal - Off Target,Attempts at Goal - Inside the Penalty Area,Attempts at Goal - Outside the Penalty Area,Final Third Entries - Left Channel,Final Third Entries - Left Inside Channel,Final Third Entries - Central Channel,Final Third Entries - Right Inside Channel,Final Third Entries - Right Channel,Offers to Receive - Total,Offers to Receive - In Behind,Offers to Receive - In Between,Offers to Receive - In Front,Receptions Between Midfield and Defensive Lines,Receptions Behind the Defensive Line,Attempted Line Breaks,Completed Line Breaks,Attempted Defensive Line Breaks,Completed Defensive Line Breaks,Yellow Cards,Red Cards,Fouls Against,Offsides,Passes,Passes Completed,Crosses,Crosses Completed,Switches of Play Completed,Corners,Free Kicks,Penalties Scored,Own Goals,Forced Turnovers,Pressing Applied,Source URL
400021447,FIFA World Cup 2026,First Stage,Group B,8,6/13/2026,14:00,Qatar,Switzerland,1,1,1,Miro MUHEIM 90+4' (OG),28.79,15,1,1,0,0,0,6,3,2,4,2,11,4,2,0,8,216,61,95,60,47,5,150,68,16,2,2,0,12,0,289,213,8,1,4,3,12,0,0,36,294,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021447
400021447,FIFA World Cup 2026,First Stage,Group B,8,6/13/2026,14:00,Switzerland,Qatar,1,1,1,Breel EMBOLO 17' (P),58.74,15,1,1,1,0,0,26,7,10,18,8,30,13,17,6,28,325,118,117,90,143,20,189,144,30,17,1,0,11,1,591,542,34,7,5,10,11,1,1,42,165,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021447
400021443,FIFA World Cup,First Stage,Group A,1,6/11/2026,14:00,Mexico,South Africa,2,0,2,"Julian QUINONES 9', Raul JIMENEZ 67'",57.09,8,2,0,2,0,2,16,4,8,9,7,16,7,7,7,12,424,97,179,148,116,11,170,121,19,10,1,1,12,1,547,495,13,3,8,3,12,0,0,31,170,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021443
400021443,FIFA World Cup,First Stage,Group A,1,6/11/2026,14:00,South Africa,Mexico,0,2,0,,36.09,8,0,2,0,0,0,3,2,1,1,2,6,4,3,2,11,247,60,85,102,38,5,130,70,12,3,2,2,11,1,351,290,8,0,6,1,13,0,0,32,306,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021443
400021441,FIFA World Cup,First Stage,Group A,2,6/11/2026,21:00,Korea Republic,Czechia,2,1,2,"HWANG Inbeom 67', OH Hyeongyu 80'",55.78,11,2,1,2,0,2,15,6,6,10,5,13,8,8,14,15,386,89,123,174,96,14,161,106,20,10,1,0,9,2,542,483,17,6,5,4,18,0,0,30,147,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021441
400021441,FIFA World Cup,First Stage,Group A,2,6/11/2026,21:00,Czechia,Korea Republic,1,2,0,Ladislav KREJCI 59',34.17,11,1,2,1,0,1,7,4,2,5,2,7,5,8,7,11,197,82,66,49,86,5,150,61,13,5,0,0,16,2,327,241,15,4,2,5,11,0,0,40,301,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021441
400021449,FIFA World Cup,First Stage,Group B,3,6/12/2026,14:00,Canada,Bosnia and Herzegovina,1,1,1,Cyle LARIN 78',52.81,20,1,1,1,0,1,13,4,6,10,3,22,15,9,5,23,294,128,114,52,119,15,190,110,31,16,2,0,10,1,412,316,30,5,2,9,20,0,0,50,160,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021449
400021449,FIFA World Cup,First Stage,Group B,3,6/12/2026,14:00,Bosnia and Herzegovina,Canada,1,1,1,Jovo LUKIC 21',29.89,20,1,1,1,0,1,8,3,4,5,3,8,2,11,4,11,126,33,65,28,75,5,154,70,15,4,3,0,20,0,279,186,8,5,1,4,11,0,0,51,203,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021449
400021458,FIFA World Cup,First Stage,Group D,4,6/12/2026,20:00,USA,Paraguay,4,1,2,"Damian BOBADILLA 7' (OG), Folarin BALOGUN 31', Folarin BALOGUN 45+5', Giovanni REYNA 90+8'",59.47,13,4,1,3,0,3,16,6,6,13,3,30,9,12,6,27,471,127,203,141,159,21,223,163,38,25,1,0,13,2,602,520,23,5,4,3,18,0,0,50,204,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021458
400021458,FIFA World Cup,First Stage,Group D,4,6/12/2026,20:00,Paraguay,USA,1,4,0,MAURICIO 73',28.74,13,1,4,1,0,1,9,1,4,4,5,7,2,4,4,5,204,38,89,77,44,4,130,60,7,3,5,0,17,1,316,234,5,0,5,1,15,0,1,49,360,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021458
400021453,FIFA World Cup,First Stage,Group C,5,6/13/2026,20:00,Haiti,Scotland,0,1,0,,51.63,9,0,1,0,0,0,15,2,9,8,7,37,6,8,8,11,267,105,94,68,83,3,142,96,12,4,1,0,23,3,431,378,26,5,4,4,22,0,0,29,185,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021453
400021453,FIFA World Cup,First Stage,Group C,5,6/13/2026,20:00,Scotland,Haiti,1,0,2,John McGinn 28',40.48,9,1,0,1,0,0,9,2,6,8,1,14,6,4,1,20,329,94,136,99,78,7,167,104,18,6,3,0,21,1,397,324,16,6,4,3,26,0,0,35,230,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021453
400021463,FIFA World Cup,First Stage,Group D,6,6/13/2026,23:00,Australia,Turkey,2,0,2,"Nestory IRANKUNDA 27', Connor METCALFE 75'",27.03,11,2,0,1,1,1,9,4,4,6,3,4,3,7,8,15,193,42,90,61,60,10,130,71,21,10,0,0,12,1,293,224,14,6,1,5,7,0,0,35,384,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021463
400021463,FIFA World Cup,First Stage,Group D,6,6/13/2026,23:00,Turkey,Australia,0,2,0,,62.88,11,0,2,0,0,0,30,7,14,13,17,39,9,2,12,29,533,161,163,209,130,13,194,146,25,15,1,0,4,3,722,663,28,2,4,8,13,0,0,30,170,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021463
400021456,FIFA World Cup,First Stage,Group C,7,6/13/2026,17:00,Brazil,Morocco,1,1,1,VINICIUS JUNIOR 32',46.69,9,1,1,1,0,1,12,5,2,9,3,22,5,7,4,14,348,79,147,122,61,10,154,107,18,11,2,0,16,0,514,457,19,7,5,6,15,0,0,41,315,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021456
400021456,FIFA World Cup,First Stage,Group C,7,6/13/2026,17:00,Morocco,Brazil,1,1,1,Ismael SAIBARI 21',45.19,9,1,1,0,1,1,14,3,4,6,8,10,7,10,6,20,400,115,169,116,128,5,179,96,15,5,0,0,14,1,503,431,14,2,3,2,16,0,0,50,285,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021456
400021467,FIFA World Cup,First Stage,Group E,9,6/14/2026,18:00,Cabo Verde,Ecuador,1,0,2,Amad DIALLO 90',41.94,10,1,0,1,0,1,15,4,8,8,7,11,7,6,2,25,333,87,174,72,102,8,177,132,18,11,3,0,10,0,471,413,15,3,1,3,13,0,0,44,288,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021467
400021467,FIFA World Cup,First Stage,Group E,9,6/14/2026,18:00,Ecuador,Cabo Verde,0,1,0,,49.87,10,0,1,0,0,0,12,1,10,5,7,16,4,8,4,17,339,77,149,113,113,7,191,124,20,8,1,0,13,0,513,438,14,3,2,5,10,0,0,49,280,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021467
400021464,FIFA World Cup,First Stage,Group E,10,6/14/2026,12:00,Germany,Curacao,7,1,2,"Felix NMECHA 6', Nico SCHLOTTERBECK 38', Kai HAVERTZ 45+5' (P), Jamal MUSIALA 47', Nathaniel BROWN 68', Deniz UNDAV 78', Kai HAVERTZ 88'",57.8,9,7,1,7,0,6,26,12,7,22,4,20,9,23,3,26,445,124,181,140,152,17,190,144,28,18,0,0,18,0,641,569,20,7,3,8,11,1,0,46,227,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021464
400021464,FIFA World Cup,First Stage,Group E,10,6/14/2026,12:00,Curacao,Germany,1,7,0,Livano COMENENCIA 21',35.32,9,1,7,1,0,0,8,2,5,4,4,16,1,4,6,13,241,83,103,55,77,6,147,84,15,6,0,0,11,1,362,291,5,2,4,1,18,0,0,43,339,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021464
